screen_name,created_at,location,source,hashtags,text
gmphap1,2020-04-21 16:14:38,"Washington, DC",Twitter for Android,coronavirus,"‼️TODAY at 1 PM ET! Register for this webinar to learn how states are responding to #coronavirus — specifically, on decisions they've made about child care issues. 
https://t.co/y9hhbQdGLX"
byRafaelGarcia,2020-04-21 16:14:38,"Manhattan, KS",Twitter for Android,,"Comparing the age of RL residents who have tested positive to statewide data reveals that a  greater % of lab-confirmed COVID-19 cases in Riley County are below the age of 45. The average age of RL residents is also younger, due to the presence of students and military personnel. https://t.co/q5NPXsBRZc"
PatWilly137199,2020-04-21 16:14:38,Florida and Tennessee,Twitter for iPhone,,How long before Dems insist it's now safe to open the country back up now that POTUS is temporarily suspending immigration into our country due to COVID-19?
gaudess91,2020-04-21 16:14:38,"Bothell, WA",Twitter for iPhone,,"Good news for me and my family.  Last week I tested positive for Covid antibodies, confirming I cleared the virus after weeks without symptoms.  I’ve also signed up for a clinical trial to donate my blood plasma and expect to make the donation in the coming weeks"
nasponline,2020-04-21 16:14:38,"Bethesda, MD",Twitter Web App,,Check out our new Waymaking video on stress during COVID-19. This new video series is made specially for parents to help them through the pandemic. @mcps_osfse @mdspaonline @mdspaonline @nasponline @MCC_PTA @MCSPA_MCPS @remstacenter @apadivision16 https://t.co/1MEAd5HW2u
SusanBodnar1,2020-04-21 16:14:38,"New York, NY",Twitter for Android,,can't wait for the Supreme Court to hold that COVID-19 is such an emergency that Trump can halt all immigration but not enough of an emergency to extend absentee voting in Wisconsin by 6 days
MichaelBalcom1,2020-04-21 16:14:38,"Pittsfield, MA",Twitter for iPhone,,"I lost a friend to complications from Covid-19 yesterday. He was a strong Christian man, kind and welcoming to everyone. He drove bus for the local school district, and the kids loved him. He has a family that loves him dearly. Please keep them in your prayers."
HTFIII,2020-04-21 16:14:37,"White Plains, NY",Twitter for iPad,,"We will make reopening decisions in New York State on a regional basis.

We recognize not all regions are impacted with COVID-19 in the same way. 

It's the logical thing to do."
941thebeat,2020-04-21 16:14:37,"Savannah, GA",SocialFlow,,"Positive COVID-19 cases rise to over 19,800 in Ga. https://t.co/2llaqXA9e1"
WKOK1070,2020-04-21 16:14:37,"Sunbury, PA",Twitter Web App,,"COVID-19 numbers back up: Nearly 1,300 new cases, over 1,500 deaths, 6 new Valley cases:
https://t.co/CoFjjtOVJa"
MindyBe,2020-04-21 16:14:37,NE Ohio,Twitter for iPhone,,"Ashlee Ramirez, a registered nurse who has spent the last month working long hours in an emergency room and helping to intubate COVID-19 patients, has not received stimulus money because she files her taxes jointly with her husband, Fredy, a Honduran citizen https://t.co/7AAeUWqjRP"
Xander_PhD,2020-04-21 16:14:37,"Maryland, USA",Twitter for iPhone,"coronavirus, NIH, COVID19","New tool in the fight against #coronavirus outbreak - #NIH issued treatment guidelines for #COVID19 today. Based on published&amp;preliminary data, and clinical expertise from frontline clinicians, this state-of-the-art approach to care is a valuable resource. https://t.co/gKY6EQBj74"
inthebasement,2020-04-21 16:14:37,California & Nebraska! USA,Twitter Web App,,"Farmers will get up to $250,000 apiece to survive an estimated 20% drop in farm income this year due to COVID-19. The government will spend $3 billion to buy fruit, vegetables, dairy, and meat, which for donation to food banks

via @SuccessfulFarm 

https://t.co/sS4h4PTDOj"
LukeEasterling,2020-04-21 16:14:37,"Tampa, FL",TweetDeck,GoBucs,"Bucs ownership is making a huge donation to help their community in the wake of the current pandemic. 

#GoBucs @SInow @Buccaneers

https://t.co/o8G7XO7btL"
216Woke,2020-04-21 16:14:37,"Cleveland, OH",Twitter for iPhone,Coronavirus,#Coronavirus live updates: Australian PM wants investigation into COVID-19's origins https://t.co/4OV9WJQSnV
Ted18641,2020-04-21 16:14:37,"Boston, MA",Twitter Web App,,EXCLUSIVE: NYPD Chief of Transportation on life support after testing positive for coronavirus https://t.co/tcQqM2sVDj
ImFreddy813,2020-04-21 16:14:36,"Egypt Lake-Leto, FL",Twitter for Android,,"Supreme will release a benefit Box Logo Tee to support youth and families facing homelessness during the COVID-19 pandemic. The Box Logo Tee features original artwork by Takashi Murakami.

Available online only in the US and Canada on Friday, April 24th. 

Retail $60 https://t.co/xlMvG4ESja"
BevWatson3,2020-04-21 16:14:36,"Chicago, IL",Twitter Web Client,,New Bombshell Doctors Research Blows Apart Covid-19 Lies : This Is The N... https://t.co/N9kzpFjzdQ via @YouTube
ladyinlksd,2020-04-21 16:14:36,USA,Twitter for Android,,"""The overall curve is on the way down""

@NYGovCuomo comments on 6th straight day of declining Covid-19 cases in New York https://t.co/01XgAHlOhR"
woods353,2020-04-21 16:14:36,"New York, NY",Twitter for iPhone,,"Over 100 strikes on our covid-19 strike wave map. 

Tyson chicken workers walked off the line yesterday in Waterloo, Iowa  https://t.co/LLoY3txU83"
