screen_name,created_at,location,source,hashtags,text
luizap1,2020-04-10 22:38:52,,Twitter for Android,COVID19,"Let's learn from the first 100 days of the #COVID19 pandemic in Asia and the Pacific.

New @unwomenasia report explains how women are hit harder by the socio-economic impacts of the #coronavirus and outlines the way forward for recovery. https://t.co/VX9CJ0pg2J"
miszsassybella,2020-04-10 22:38:49,"Perth, Western Australia",Twitter for Android,,"By now, everyone is all too familiar with COVID-19, but do you understand how it actually affects your body? I made this poster to try to summarize the main events that occur following infection. I hope you learn something! 
#sciart #scicomm #coronavirus #covid19 https://t.co/j3Kr47pNY1"
gdaragon8,2020-04-10 22:38:46,,Twitter for Android,,"Ecuador, large mass graves dug up, because there are no places in cemeteries, in morgues and crematoriums.

COVID-19 #COVID__19 #COVIDー19 #coronavirus #COVID19 https://t.co/jzrdROaqlr"
Berminn27,2020-04-10 22:38:46,Dublin,Twitter for iPhone,COVID,156 residents of Irish nursing homes have died from #COVID-19 in 41 days. That's 54% of all COVID deaths so far. First time we got that figure. #COVIDー19 #COVID19 #COVIDー19 #coronavirus
Choclatechels,2020-04-10 22:38:44,,Twitter for iPhone,,"📊 COVID-19 update for April 10: 3,799 positive patients . We are saddened to report we have lost 96 Missourians to COVID-19.

To learn more about Missouri’s COVID-19 response and statistics, visit https://t.co/V6es2EUkO0.

#COVID19 | #ShowMeStrong https://t.co/uz7Jzh7L09"
rsm155,2020-04-10 22:38:40, Youngstown Ohio,Twitter for iPad,,"Thanks to @Teamsters848 leaders and members, in partnership with @LALabor, the LA Regional Food Bank fed more than 900 families impacted by the #coronavirus crisis over the last few weeks in Long Beach, CA. 💪
#1u #Teamsters #COVID19
https://t.co/7oglktOisZ https://t.co/9iOLQBYZSz"
GillJames54,2020-04-10 22:38:38,"England, United Kingdom",Twitter for iPad,COVID19,"New data suggests that if you're black or hispanic in the United States, you're twice as likely to die from #COVID19 https://t.co/LztEqJCP1Z"
Omuyaaye1,2020-04-10 22:38:38,,Twitter Web App,coronavirus,"The #coronavirus pandemic has caused untold physical, emotional, and economic hardship. CGTN's @sfcallebs shares his thoughts as he has traveled the east coast talking to people most affected. #covid19 #coronavirus

https://t.co/WtjbMDWyNm"
NomadPragmatist,2020-04-10 22:38:37,,Twitter Web App,COVID19,"JUST RELEASED: @JHSPH_CHS and @ASTHO have released a new report, “A National Plan to Enable Comprehensive #COVID19 Case Finding and Contact Tracing in the U.S.”

The report outlines key next steps in the battle against the novel #coronavirus.

🔗 https://t.co/BGbLfQGgqx https://t.co/SbEhZurMnm"
NDISDeane,2020-04-10 22:38:31,,Twitter for iPad,,"Early childhood education, school, work or club community – how can you stay connected? Start small and with people who understand communication and other differences. https://t.co/PsQluu8OMJ New Resource: Learning at home during a time of crisis: COVID-19 #COVID19Aus #ACIE https://t.co/nr7E3ORM2T"
MultAuditor,2020-04-10 22:38:30,,Twitter for iPhone,,"Scam alert for Portland-area restaurant owners:
Someone claiming to work for @MultCohealth is calling businesses &amp; telling them to pay a fine via credit card for a #COVID19-related violation. @MultCo DOESN'T demand payment for violations by credit card https://t.co/WxMOpKVwMx https://t.co/FuFgn6JzeK"
chmod777Mark,2020-04-10 22:38:29,"Virginia, USA",Twitter Web App,,"Batshit crazy - “CDC advises that critical infrastructure workers may be permitted to continue work following potential exposure to COVID-19, provided they remain asymptomatic” ➡️ somebody forgetting asymptomatic transmission?? #COVID19 https://t.co/eno0El1YPA"
UNDPAzerbaijan,2020-04-10 22:38:26,"3, UN 50th Anniversary str.",Twitter for iPhone,COVID19,"#COVID19 is not only challenging global health systems, but testing our common humanity. 

Gender equality and women’s rights are essential to getting through this pandemic together, to recovering faster, and to building a better future for everyone.

https://t.co/LsfAcITRsb"
najibfahmi94,2020-04-10 22:38:25,"Gurun, Kedah",Twitter for Android,,"By now, everyone is all too familiar with COVID-19, but do you understand how it actually affects your body? I made this poster to try to summarize the main events that occur following infection. I hope you learn something! 
#sciart #scicomm #coronavirus #covid19 https://t.co/j3Kr47pNY1"
TheLegitFatLo,2020-04-10 22:38:25,,Twitter for Android,"Zimbabwe, CoronavirusOutbreak","In Zimbabwe, Lack of Tests Sparks Fear COVID-19 Goes Undetected https://t.co/IQRGxcz6oB #Zimbabwe #CoronavirusOutbreak #CoronavirusUpdate #Coronavirus #COVID19 #COVIDー19 #COVD19 #CoronavirusPandemic #COVID https://t.co/CjBZVOjIeY"
